RapNet Seller #,Shape,Weight,Color,Clarity,Cut Grade,Polish,Symmetry,Fluorescence,Measurements,Lab,Cert #,RapNet Total Price,Depth %,Table %,RapNet Lot #
32235,Round,2.000,L,SI1,Excellent,Excellent,Very Good,None ,8.07-8.11x4.98,GIA,2136102312,9450.0000,61.5,57.00,37721953
32235,Round,2.000,F,VS2,Very Good,Excellent,Excellent,None ,7.89-7.92x5.06,GIA,2116825344,28120.0000,64.0,55.00,37720651
32235,Round,2.000,F,VS2,Very Good,Excellent,Very Good,None ,7.86-7.92x5.04,GIA,5116919257,28120.0000,63.9,57.00,37720746
32235,Round,2.000,I,SI1,Very Good,Excellent,Good,None ,7.83-7.95x5.03,GIA,2126598028,14490.0000,63.7,57.00,37721142
32235,Round,2.000,G,SI1,Very Good,Excellent,Good,None ,7.84-7.94x5.08,GIA,5116906128,18200.0000,64.4,56.00,37720672
32235,Round,2.000,G,VS1,Very Good,Excellent,Excellent,Medium Blue,7.87-7.90x5.05,GIA,2126045310,24480.0000,64.0,56.00,37720793
32235,Round,2.000,I,VS2,Very Good,Excellent,Good,None ,8.02-8.10x4.99,GIA,5126093785,16560.0000,61.9,56.00,36469076
32235,Round,2.000,G,VVS1,Very Good,Excellent,Good,None ,7.80-7.95x5.04,GIA,2126472981,33840.0000,63.9,58.00,37720482
32235,Round,2.000,G,SI2,Very Good,Excellent,Very Good,None ,7.80-7.90x5.04,GIA,2116610279,15552.0000,64.2,56.00,37720576
32235,Round,2.000,G,VS1,Very Good,Very Good,Very Good,None ,7.91-7.94x5.05,GIA,5116939057,25920.0000,63.7,56.00,37720645
44668,Round,2.000,G,VVS2,Excellent,Excellent,Very Good,None ,7.96-8.04x5.03,GIA,2126531944,32890.0000,62.8,55.00,35914544
44668,Round,2.000,I,SI1,Excellent,Very Good,Excellent,None ,8.22-8.27x4.88,GIA,6147170143,17310.0000,59.1,59.00,35054629
77636,Round,2.000,I,SI1,Excellent,Excellent,Excellent,None ,8.07-8.10x4.96,GIA,2136071740,16380.0000,61.4,60.00,37255577
77636,Round,2.000,E,VVS1,Excellent,Excellent,Excellent,Strong Blue,8.04-8.07x5.01,GIA,5126115699,48990.0000,62.2,57.00,32137850
77636,Round,2.000,E,VVS2,Very Good,Excellent,Excellent,Faint ,8.01-8.06x4.95,GIA,1119359499,42700.0000,61.7,62.00,32137851
77636,Round,2.000,E,SI1,Very Good,Very Good,Very Good,Strong Blue,7.86-7.89x5.08,GIA,2116622646,19200.0000,64.5,57.00,30768317
28426,Round,2.000,H,SI2,Very Good,Excellent,Very Good,None ,7.92-7.94x5.08,GIA,2116776025,15450.0000,64.1,55.00,37252364
28426,Round,2.000,K,VVS2,Excellent,Excellent,Excellent,Faint ,7.98-8.05x5.03,GIA,2131197967,17850.0000,62.7,57.00,37252365
28426,Round,2.000,K,VS2,Excellent,Excellent,Excellent,Faint ,8.10-8.12x4.99,GIA,2126471684,14960.0000,61.5,56.00,37252366
28426,Round,2.000,K,SI1,Excellent,Very Good,Very Good,Very Strong ,8.09-8.11x4.95,IGI,S2H48506,10400.0000,61.1,61.00,36937244
28426,Pear,2.000,I,VVS2,,Very Good,Good,None ,10.04x6.93x4.70,GIA,1136103312,12600.0000,67.8,57.00,37252405
28426,Princess,2.000,F,VVS1,,Excellent,Good,None ,6.62x6.59x5.28,GIA,6137022854,22692.0000,80.1,77.00,37252411
28426,Marquise,2.000,E,VS2,,Very Good,Good,Faint ,11.25x6.75x4.17,GIA,6137339373,17940.0000,61.8,63.00,37825437
28426,Princess,2.000,G,VVS1,,Very Good,Very Good,None ,6.94x6.64x5.13,GIA,2116896886,21114.0000,77.3,79.00,37252412
28426,Emerald,2.000,H,VVS2,,Good,Very Good,Faint ,7.96x6.00x4.34,GIA,2116851422,13608.0000,72.3,64.00,37252423
28426,Emerald,2.000,I,VVS2,,Excellent,Very Good,None ,7.94x5.93x4.36,GIA,2126221209,11700.0000,73.5,62.00,37825476
32128,Round,2.000,J,SI2,Excellent,Excellent,Very Good,Slight ,8.02-8.07x5.04,IGI,M2E18823,11388.0000,62.6,56.50,37362915
32128,Round,2.000,K,SI1,Good,Very Good,Fair,Medium ,8.12-8.14x4.99,GIA,6135119141,11200.0000,61.4,53.00,37362867
68734,Round,2.000,I,SI2,Excellent,Excellent,Excellent,None ,8.05-8.09x4.98,GIA,1126850693,16740.0000,61.7,57.00,32328077
66248,Round,2.000,D,SI2,Excellent,Excellent,Excellent,None ,8.16-8.18x4.87,GIA,2126495063,24354.0000,59.6,62.00,37867581
75370,Round,2.000,H,VS2,Very Good,Excellent,Very Good,None ,7.89-7.92x5.06,IGI,S3B55096,17550.0000,64.1,56.50,37880134
44275,Round,2.000,L,SI2,Excellent,Excellent,Excellent,None ,8.02-8.05x5.03,GIA,1139117024,8932.0000,62.7,56.00,37558530
75120,Round,2.000,J,VS2,Good,Very Good,Very Good,None ,7.68-7.70x5.12,GIA,2136173967,12350.0000,66.6,57.00,37557599
75120,Round,2.000,G,VS1,Good,Excellent,Very Good,None ,7.77-7.82x5.05,GIA,2116565876,24480.0000,64.8,61.00,37089675
75120,Round,2.000,J,SI2,Very Good,Very Good,Good,None ,8.04-8.09x4.92,IGI,S2B43132,10452.0000,61.0,65.00,32825099
