VS1,I,0.15,0.17,970
VS2,I,0.15,0.17,970
SI1,I,0.15,0.17,790
SI2,I,0.15,0.17,670
SI3,I,0.15,0.17,570
I1,I,0.15,0.17,460
I2,I,0.15,0.17,390
I3,I,0.15,0.17,300
IF,J,0.15,0.17,1120
VVS1,J,0.15,0.17,1120
VVS2,J,0.15,0.17,1120
VS1,J,0.15,0.17,970
VS2,J,0.15,0.17,970
SI1,J,0.15,0.17,790
SI2,J,0.15,0.17,670
SI3,J,0.15,0.17,570
I1,J,0.15,0.17,460
I2,J,0.15,0.17,390
I3,J,0.15,0.17,300
IF,K,0.15,0.17,860
VVS1,K,0.15,0.17,860
VVS2,K,0.15,0.17,860
VS1,K,0.15,0.17,720
VS2,K,0.15,0.17,720
SI1,K,0.15,0.17,590
SI2,K,0.15,0.17,520
SI3,K,0.15,0.17,420
I1,K,0.15,0.17,330
I2,K,0.15,0.17,260
I3,K,0.15,0.17,190
IF,L,0.15,0.17,860
VVS1,L,0.15,0.17,860
VVS2,L,0.15,0.17,860
VS1,L,0.15,0.17,720
VS2,L,0.15,0.17,720
SI1,L,0.15,0.17,590
SI2,L,0.15,0.17,520
SI3,L,0.15,0.17,420
I1,L,0.15,0.17,330
I2,L,0.15,0.17,260
I3,L,0.15,0.17,190
IF,M,0.15,0.17,570
VVS1,M,0.15,0.17,570
VVS2,M,0.15,0.17,570
VS1,M,0.15,0.17,480
VS2,M,0.15,0.17,480
SI1,M,0.15,0.17,400
SI2,M,0.15,0.17,350
SI3,M,0.15,0.17,320
I1,M,0.15,0.17,260
I2,M,0.15,0.17,180
I3,M,0.15,0.17,140
IF,N,0.15,0.17,570
VVS1,N,0.15,0.17,570
VVS2,N,0.15,0.17,570
VS1,N,0.15,0.17,480
VS2,N,0.15,0.17,480
SI1,N,0.15,0.17,400
SI2,N,0.15,0.17,350
SI3,N,0.15,0.17,320
I1,N,0.15,0.17,260
I2,N,0.15,0.17,180
I3,N,0.15,0.17,140
IF,D,0.18,0.22,1600
VVS1,D,0.18,0.22,1600
VVS2,D,0.18,0.22,1600
VS1,D,0.18,0.22,1360
VS2,D,0.18,0.22,1360
SI1,D,0.18,0.22,1150
SI2,D,0.18,0.22,1000
SI3,D,0.18,0.22,890
I1,D,0.18,0.22,670
I2,D,0.18,0.22,560
I3,D,0.18,0.22,400
IF,E,0.18,0.22,1600
VVS1,E,0.18,0.22,1600
VVS2,E,0.18,0.22,1600
VS1,E,0.18,0.22,1360
VS2,E,0.18,0.22,1360
SI1,E,0.18,0.22,1150
SI2,E,0.18,0.22,1000
SI3,E,0.18,0.22,890
I1,E,0.18,0.22,670
